material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements
mp-30908,Ag3PSe4,0.00609484575893,0.174399999999999,5.609767867358235,396.89909008346825,Orthorhombic,"Ag, P, Se"
mp-1183206,Ag3Pd,0.005026156249999,0.0,10.708736006456256,133.3626391515351,Hexagonal,"Ag, Pd"
mp-985296,Ag3Pd,0.0,0.0,10.728137772596519,66.5607268507526,Tetragonal,"Ag, Pd"
mp-1215074,Ag3Pd13Pb6,0.051156477608905,0.0,11.901627520589358,1234.8805951031206,Trigonal,"Ag, Pb, Pd"
mp-12065,Ag3Pt,0.0208054225,0.0,12.906863305766075,66.73214578132846,Cubic,"Ag, Pt"
mp-1195464,Ag3RuO4,0.079027097500001,0.0,7.340083699144131,884.4141970271933,Monoclinic,"Ag, O, Ru"
mp-510453,Ag3RuO4,0.065860125000002,0.0,7.231418859075018,448.85204116922824,Tetragonal,"Ag, O, Ru"
mp-1201018,Ag3S4(O3F)4,0.0,0.0,3.3096228443256432,1444.6851319453408,Monoclinic,"Ag, F, O, S"
mp-1105645,Ag3SBr,0.09831240649999601,0.2964,5.967646430204268,484.80551764514917,Orthorhombic,"Ag, Br, S"
mp-1229116,Ag3SBr,0.063698640999996,0.39870000000000005,6.124830461748297,118.09093879361743,Monoclinic,"Ag, Br, S"
mp-36600,Ag3SBr,0.068296385999996,0.39769999999999905,6.1865134204165955,233.82701370779412,Orthorhombic,"Ag, Br, S"
mp-1173025,Ag3SI,0.08667530199999601,0.33980000000000005,6.4817422363222,247.258550725043,Orthorhombic,"Ag, I, S"
mp-22995,Ag3SI,0.066818196999996,0.5478000000000001,6.576090262229425,121.85555000145258,Trigonal,"Ag, I, S"
mp-632480,Ag3SI,0.073682232999996,0.167599999999999,6.49674279385352,123.3438233881282,Triclinic,"Ag, I, S"
mp-673825,Ag3SI,0.08476500199999601,0.256999999999999,6.567474042525697,244.0308376019067,Triclinic,"Ag, I, S"
mp-674981,Ag3SI,0.077225024999996,0.262399999999999,6.475076465078784,123.75654559214739,Monoclinic,"Ag, I, S"
mp-675879,Ag3SI,0.07550974299999601,0.32160000000000005,6.4800331785069645,247.32376322424778,Monoclinic,"Ag, I, S"
mp-676121,Ag3SI,0.073934319999996,0.373899999999999,5.912215314641317,271.07710159969986,Triclinic,"Ag, I, S"
mp-676561,Ag3SI,0.077612204999996,0.333,6.417371315030583,124.86936728848829,Trigonal,"Ag, I, S"
mp-1229105,Ag3Sb,0.08736486500000101,0.0,8.989131441280312,82.27105388452856,Hexagonal,"Ag, Sb"
mp-16240,Ag3Sb,0.041008395000002,0.0,9.488630316469115,155.88030991092086,Orthorhombic,"Ag, Sb"
mp-2273,Ag3Sb,0.050899435000001006,0.0,9.121196488250495,81.0798581231454,Orthorhombic,"Ag, Sb"
mp-1195261,Ag3Sb4F24,0.0,0.012499999999999001,4.119700930201005,1021.0688786695754,Cubic,"Ag, F, Sb"
mp-1202934,Ag3SbO4,0.025046404062499,0.0,7.58613232291104,445.980004643397,Tetragonal,"Ag, O, Sb"
mp-1104271,Ag3SbS3,0.029255762142856002,1.8371,4.899352425236151,367.1019329249105,Trigonal,"Ag, S, Sb"
mp-4515,Ag3SbS3,0.008792387142854,0.9521000000000001,5.644650129279103,318.631217912923,Trigonal,"Ag, S, Sb"
