material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements,avg_atomic_number,avg_electronegativity,avg_atomic_radius,avg_atomic_mass,num_elements,stability_raw,band_gap_raw,density_raw,final_score,stability_score,band_gap_score,density_score,rag_status
mp-1018134,Li,0.0,0.0,0.5649380290750841,61.205660097660434,Trigonal,Li,3.0,0.98,145.0,6.94,1,1.0,0.0,0.5564938029075084,0.6113150312796952,1.0,0.0,0.5565751563984759,Amber
mp-1063005,Li,0.015670883333333,0.0,0.5643236945722541,61.27228985134278,Hexagonal,Li,3.0,0.98,145.0,6.94,1,0.9845709042264728,0.0,0.5564323694572254,0.5260380588772472,0.8294706321675847,0.0,0.5565137139672741,Amber
mp-10173,Li,0.005987748333333,0.0,0.573292417154018,40.20915440845307,Hexagonal,Li,3.0,0.98,145.0,6.94,1,0.9940478913950461,0.0,0.5573292417154019,0.578589440856663,0.9342145947778615,0.0,0.5574107173386611,Amber
mp-976411,Li,0.005889090833333,0.0,0.5659385321116011,81.46327565480371,Hexagonal,Li,3.0,0.98,145.0,6.94,1,0.9941453875114061,0.0,0.5565938532111601,0.578981127314288,0.9352921660972076,0.0,0.5566752213284206,Amber
mp-567337,Li,0.008819463333333,0.0,0.570042740991187,161.75350839454015,Cubic,Li,3.0,0.98,145.0,6.94,1,0.991257639593717,0.0,0.5570042740991188,0.5631048733041493,0.9033754657220747,0.0,0.5570857022155596,Amber
mp-51,Li,0.001672373333333,0.0,0.5664547498885351,20.347259270998425,Cubic,Li,3.0,0.98,145.0,6.94,1,0.998330418829694,0.0,0.5566454749888535,0.6021188857760301,0.981547031290992,0.0,0.5567268506526705,Amber
mp-135,Li,0.009650863333333,0.0,0.5666126169854631,20.34159020777027,Cubic,Li,3.0,0.98,145.0,6.94,1,0.9904413855483954,0.0,0.5566612616985462,0.5585254557426482,0.8943538556172115,0.0,0.5567426396702126,Amber
mp-1103107,Li,0.0553794725,0.0,0.570192381038717,242.5665872337491,Orthorhombic,Li,3.0,0.98,145.0,6.94,1,0.9475264831816216,0.0,0.5570192381038718,0.32143957414888974,0.42003888093462294,0.0,0.5571006684078914,Red
mp-1232999,LiO8,0.016817863333333,0.152099999999999,1.985847494723534,112.83184242189002,Triclinic,"Li, O",5.5,2.21,102.5,11.4695,2,0.983460299096044,0.152099999999999,0.6985847494723534,0.5574612351809203,0.81719572030085,0.030419999999999805,0.6986868751524765,Amber
mp-1236127,LiO8,0.015707888888889,0.088899999999999,1.902559815234679,117.77124156851406,Triclinic,"Li, O",5.5,2.21,102.5,11.4695,2,0.9845350330929571,0.088899999999999,0.6902559815234679,0.5579424619864795,0.8290741681225331,0.0177799999999998,0.6903568896260645,Amber
mp-995393,LiS4,0.0,2.1989,0.212291455515833,2115.078462404796,Triclinic,"Li, S",9.5,1.78,122.5,19.5,2,1.0,2.1989,0.5212291455515833,0.7361950687447432,1.0,0.43978000000000006,0.5213053437237158,Green
mp-569073,LiSn,0.0,0.0,5.092956930678413,122.90407935742938,Monoclinic,"Li, Sn",26.5,1.47,145.0,62.825,2,1.0,0.0,0.9907043069321587,0.6981698274785839,1.0,0.0,0.9908491373929192,Amber
mp-1094568,LiMg,0.0208931975,0.0,1.238128792846922,83.812288309167,Monoclinic,"Li, Mg",7.5,1.145,147.5,15.6225,2,0.9795343944389443,0.0,0.6238128792846922,0.5116832350980115,0.7738048405518079,0.0,0.6239040741105377,Amber
mp-1094600,LiMg2,0.027992521666666,0.0,1.4291499274841262,129.09017299687213,Monoclinic,"Li, Mg",7.5,1.145,147.5,15.6225,2,0.9727697224671612,0.0,0.6429149927484126,0.47812110415924625,0.6990386162782443,0.0,0.6430089801006206,Amber
mp-1235252,LiO8,0.009239624444445,0.0,1.9977602742550664,112.1590185199282,Monoclinic,"Li, O",5.5,2.21,102.5,11.4695,2,0.9908449646440198,0.0,0.6997760274255066,0.5893828629097162,0.8988143949163003,0.0,0.69987832725783,Amber
