material_id,formula,energy_above_hull,band_gap,density,volume,crystal_system,elements,avg_atomic_number,avg_electronegativity,avg_atomic_radius,avg_atomic_mass,num_elements
mp-1025044,AlNi2,0.0275758575,0.0,7.148100740005991,67.07495457744089,Trigonal,"Al, Ni",20.5,1.76,130.0,42.83746925,2
mp-1038779,MgAl,0.07534956875,0.0,2.198716849891578,38.73318246512205,Trigonal,"Al, Mg",12.5,1.46,137.5,25.64326925,2
mp-1079297,Si,0.08220610625,0.2735,2.231027796342244,167.23079840226276,Monoclinic,Si,14.0,1.9,110.0,28.085,1
mp-1203790,Si,0.084393196617646,1.359999999999999,2.00791585028713,1579.409195104524,Hexagonal,Si,14.0,1.9,110.0,28.085,1
mp-165,Si,0.01360687,0.438899999999999,2.317290669455944,80.50275361604727,Hexagonal,Si,14.0,1.9,110.0,28.085,1
mp-971662,Si,0.091849948260868,1.4428,2.033231711125001,1055.1208729391324,Cubic,Si,14.0,1.9,110.0,28.085,1
mp-149,Si,0.0,0.6105,2.312800253345134,40.32952684741405,Cubic,Si,14.0,1.9,110.0,28.085,1
mp-556985,SiO2,0.053084267222223,5.6098,1.956224705325687,204.00995306334,Triclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-556994,SiO2,0.088277768055556,5.3836,2.320045639110383,172.01787050528444,Triclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-557004,SiO2,0.020841848333333,5.5806,1.790678150075335,668.6114592363509,Triclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-557873,SiO2,0.065522978888891,5.6607,2.033581162327374,196.24951180118808,Triclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-733790,SiO2,0.006573497500003,5.5868,2.254998357567127,1061.8792044143463,Triclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-560708,SiO2,0.015350694722222,5.819199999999999,1.770509671361885,1577.8649602376963,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-1192532,SiH2,0.040251182833333,4.0154,0.9276544243991692,538.8269180190274,Monoclinic,"H, Si",7.5,2.05,67.5,14.5465,2
mp-557894,SiO2,0.021515728680556,5.9287,1.645014779845564,1940.8424298889604,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-559360,SiO2,0.017097599722223,5.7962,1.717090878852131,1394.5306514526335,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-600001,SiO2,0.036622150222223,5.7968,1.6270879414514412,306.59783358024345,Tetragonal,"O, Si",11.0,2.67,85.0,22.042,2
mp-558200,SiO2,0.07261927013889,5.642899999999999,2.413310250887983,330.74016087901987,Tetragonal,"O, Si",11.0,2.67,85.0,22.042,2
mp-600067,SiO2,0.033440892103175,5.8489,1.372429634637766,2035.532534198896,Tetragonal,"O, Si",11.0,2.67,85.0,22.042,2
mp-639682,SiO2,0.034761362555556,5.7946,1.58982169377308,627.5692926413844,Tetragonal,"O, Si",11.0,2.67,85.0,22.042,2
mp-644923,SiO2,0.016849102430557,5.72,1.699283382944712,2818.289033980328,Tetragonal,"O, Si",11.0,2.67,85.0,22.042,2
mp-972825,SiH8,0.001566776388888,6.98,0.505053431237369,118.85249404650182,Tetragonal,"H, Si",7.5,2.05,67.5,14.5465,2
mp-1067235,BaSi,0.000715402499999,0.0,4.286153703730487,128.16802071979262,Monoclinic,"Ba, Si",35.0,1.395,162.5,82.706,2
mp-1078181,SiBr3,0.004102783359373,3.8434,3.067005002968582,289.9820575821661,Monoclinic,"Br, Si",24.5,2.4299999999999997,112.5,53.9945,2
mp-1199998,SiO2,0.026448057397661,5.5867,1.51396018465205,2504.259019772263,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-1248957,SiO2,0.021579928680557,5.7415,1.630401858383801,1958.2377596671904,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-1249637,SiO2,0.0200612146627,5.6978,1.529545904977355,3652.881764598279,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-13363,SiPt3,0.0451005675,0.0,17.069395348068234,119.3329768269781,Monoclinic,"Pt, Si",46.0,2.05,122.5,111.5845,2
mp-17279,SiO2,0.020339974513889,5.7151,1.6805139235541442,949.9220559167986,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-18280,SiO2,0.015797593611113,5.7361,1.709287612182695,700.448492349192,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-1863,SiAs,0.0,1.451899999999999,3.55907857134658,288.35662420758007,Monoclinic,"As, Si",23.5,2.04,112.5,51.5032975,2
mp-558351,SiO2,0.020171367222223,5.626799999999999,1.761935939556042,679.5184229264298,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-558564,SiO2,0.065499767777778,5.683,1.741105325539145,687.6481930085286,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-615993,SiO2,0.017484032222222,5.5053,1.8140142435890487,770.0119175130222,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-662706,SiO2,0.014375648769842,5.611800000000001,1.847296768491363,1512.2774098096618,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-667383,SiO2,0.014114933531747,5.5383,1.744532123123708,1601.3606944661433,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-680204,SiO2,0.013950562373739,5.6096,2.020047510623644,1086.6037532225982,Monoclinic,"O, Si",11.0,2.67,85.0,22.042,2
mp-557930,SiO2,0.03198936263889,5.8743,2.311617456409678,345.2900991106816,Tetragonal,"O, Si",11.0,2.67,85.0,22.042,2
mp-560131,SiO2,0.097420526805557,5.7724,1.851093610886656,431.1930071690753,Tetragonal,"O, Si",11.0,2.67,85.0,22.042,2
mp-546794,SiO2,0.005647450555557,5.689599999999999,2.223612886125405,89.73893630609501,Tetragonal,"O, Si",11.0,2.67,85.0,22.042,2
mp-7583,SiS2,0.01953703,3.2415,2.28489591718836,134.03449946593685,Tetragonal,"S, Si",15.0,2.24,105.0,30.0725,2
mp-568348,P,0.0,1.8454,2.232614319007421,1935.1232668474008,Monoclinic,P,15.0,2.19,100.0,30.973761998,1
mp-1198724,P,0.002171018690477,1.9259,2.148363034856064,1005.506016560507,Triclinic,P,15.0,2.19,100.0,30.973761998,1
mp-1014013,P,0.053987197023809,0.8832000000000001,0.388033321298891,530.1930428902824,Orthorhombic,P,15.0,2.19,100.0,30.973761998,1
mp-1094075,P,0.08636613702381,1.305899999999999,0.759669675034456,677.0461363781266,Monoclinic,P,15.0,2.19,100.0,30.973761998,1
mp-157,P,0.020214559523809,0.010399999999999,2.514125107150334,81.83068009510166,Orthorhombic,P,15.0,2.19,100.0,30.973761998,1
mp-7245,P,0.093512971666665,0.0,3.251663918351236,31.63496790077238,Orthorhombic,P,15.0,2.19,100.0,30.973761998,1
mp-696588,PH3,0.029298753541667,0.0,0.5707185863796971,395.6718034297767,Triclinic,"H, P",8.0,2.1950000000000003,62.5,15.990880999,2
mp-7526,SnP,0.010658192499999,0.0,5.551903769637845,44.76946012572369,Tetragonal,"P, Sn",32.5,2.075,122.5,74.841880999,2
mp-1067587,TaP,0.0,0.0,11.16717678534869,63.0247326362231,Tetragonal,"P, Ta",44.0,1.845,122.5,105.96082099899999,2
mp-9339,NbP,0.0,0.1162,6.387205680425864,64.41246005193307,Tetragonal,"Nb, P",28.0,1.895,122.5,61.940065999,2
mp-1095275,GeP,0.0,0.4889,3.814043347529472,270.6650406842001,Monoclinic,"Ge, P",23.5,2.0999999999999996,112.5,51.801880999,2
mp-1228799,AsP,0.059072495833333,0.458199999999999,3.811700291702115,92.26506394301332,Monoclinic,"As, P",24.0,2.185,107.5,52.947678499,2
mp-569410,PCl5,0.0,1.7516,2.194878120865734,472.63025157637736,Monoclinic,"Cl, P",16.0,2.675,100.0,33.211880999,2
mp-10004,Mo3P,0.0,0.0,9.144741152243927,231.5514401889818,Tetragonal,"Mo, P",28.5,2.175,122.5,63.461880999,2
mp-1209828,PW3,0.057999603124997,0.0,16.292981251791442,237.4651103819201,Tetragonal,"P, W",44.5,1.9449999999999998,117.5,107.40688099900001,2
mp-567846,Ta3P,0.000187033750002,0.0,14.919586518568671,510.92365699546446,Tetragonal,"P, Ta",44.0,1.845,122.5,105.96082099899999,2
mp-1618,PPd6,0.0,0.0,10.540980316328554,421.8660933931872,Monoclinic,"P, Pd",30.5,2.1950000000000003,120.0,68.696880999,2
mp-28885,PSe,0.0,2.2667,3.169265900767657,921.5979334272434,Monoclinic,"P, Se",24.5,2.37,107.5,54.972380999,2
mp-9588,LiP,0.0,0.8094999999999991,2.026625484183503,248.52719555021827,Monoclinic,"Li, P",9.0,1.585,122.5,18.956880999,2
mp-562065,PO2,0.021671800857143,4.5183,2.499574783534377,334.6758017042621,Monoclinic,"O, P",11.5,2.815,80.0,23.486380999,2
mp-612,PS,0.026489451484373,2.4974,2.065305843722483,405.47341626624575,Monoclinic,"P, S",15.5,2.385,100.0,31.516880999,2
mp-1228795,AsP,0.083086605833333,0.0,4.494692209277933,39.12245319262876,Trigonal,"As, P",24.0,2.185,107.5,52.947678499,2
mp-1218948,SnP,0.0245162575,0.0,4.888076654824982,101.69878747351852,Trigonal,"P, Sn",32.5,2.075,122.5,74.841880999,2
mp-7540,Cu3P,0.059430067187498,0.0,7.392194051428752,99.56312993378084,Trigonal,"Cu, P",22.0,2.045,117.5,47.259880999,2
mp-14012,Cu3P,0.026024493854166,0.0,7.492538115855721,294.6891822734753,Trigonal,"Cu, P",22.0,2.045,117.5,47.259880999,2
mp-359,Cu3P,0.068513934062499,0.0,7.367040864827103,299.70920088905825,Trigonal,"Cu, P",22.0,2.045,117.5,47.259880999,2
mp-28395,B6P,0.0,2.4757,2.6073925513727563,122.07265749137632,Trigonal,"B, P",10.0,2.115,92.5,20.891880999,2
mp-27529,PI3,0.0,2.2746,3.905252359286758,350.1042029708565,Hexagonal,"I, P",34.0,2.425,120.0,78.939115999,2
mp-7463,Cu3P,0.025262583854166,0.0,7.509347797265637,294.02952028914564,Hexagonal,"Cu, P",22.0,2.045,117.5,47.259880999,2
mp-1008559,BP,0.014076364999999,1.0624,2.979764368566962,46.57095065738511,Hexagonal,"B, P",10.0,2.115,92.5,20.891880999,2
mp-8880,AlP,0.004434354999999,1.9532999999999991,2.347986071086355,81.97411556050663,Hexagonal,"Al, P",14.0,1.9,112.5,28.977650249,2
mp-8882,GaP,0.008458759999999,1.3002,4.131501206922352,80.94438258953409,Hexagonal,"Ga, P",23.0,2.0,115.0,50.348380999,2
mp-966800,InP,0.003933715000002,0.527999999999999,4.704869604456656,102.91163698144938,Hexagonal,"In, P",32.0,1.9849999999999999,127.5,72.895880999,2
